file_name,ref_file,transcription,duration_seconds,speaker_id,speaker_name,language_id
audio/speaker_01_000000.wav,ref_audio/ref_speaker_01_000000.wav,"Nous allons donc couvrir ce qu’est l’emprunt lexical, la tâche que nous avons proposée, les données que nous avons publiées et certains modèles que nous avons explorés.",9.36,speaker_01,Elena,fr
audio/speaker_01_000001.wav,ref_audio/ref_speaker_01_000001.wav,"Par exemple, en espagnol, nous utilisons des mots qui viennent de l’anglais.",5.22,speaker_01,Elena,fr
audio/speaker_01_000002.wav,ref_audio/ref_speaker_01_000002.wav,Nous allons nous concentrer sur l’emprunt lexical.,3.06,speaker_01,Elena,fr
audio/speaker_01_000003.wav,ref_audio/ref_speaker_01_000003.wav,Les emprunts seront conformes à la grammaire de la langue du destinataire.,6.0,speaker_01,Elena,fr
audio/speaker_01_000004.wav,ref_audio/ref_speaker_01_000004.wav,"Et aussi, les emprunts lexicaux sont une source de nouveaux mots.",3.46,speaker_01,Elena,fr
audio/speaker_01_000005.wav,ref_audio/ref_speaker_01_000005.wav,"Et ici, vous avez quelques exemples de travail sur la détection automatique des emprunts dans certaines de ces langues.",6.86,speaker_01,Elena,fr
audio/speaker_01_000006.wav,ref_audio/ref_speaker_01_000006.wav,Mais il y avait des limites à la fois dans les données et dans l’approche de modélisation.,4.36,speaker_01,Elena,fr
audio/speaker_01_000007.wav,ref_audio/ref_speaker_01_000007.wav,Et il y avait aussi un chevauchement dans les emprunts qui apparaissent dans l’ensemble de formation et l’ensemble de test.,6.92,speaker_01,Elena,fr
audio/speaker_01_000008.wav,ref_audio/ref_speaker_01_000008.wav,Nous visons donc à nous attaquer à certaines de ces limites dans la tâche.,4.86,speaker_01,Elena,fr
audio/speaker_01_000009.wav,ref_audio/ref_speaker_01_000009.wav,"Avec de nouvelles données qui ont été annotées avec des emprunts lexicaux, le but était de créer un ensemble de test aussi difficile que possible.",8.28,speaker_01,Elena,fr
audio/speaker_01_000010.wav,ref_audio/ref_speaker_01_000010.wav,Il y aurait donc un chevauchement minimal entre les mots et les sujets entre l’ensemble de formation et l’ensemble de test.,6.08,speaker_01,Elena,fr
audio/speaker_01_000011.wav,ref_audio/ref_speaker_01_000011.wav,L’ensemble de test est aussi très dense en termes d’emprunt.,3.34,speaker_01,Elena,fr
audio/speaker_01_000012.wav,ref_audio/ref_speaker_01_000012.wav,L’ensemble de test contenait autant de mots hors-vocabulaire que possible.,4.64,speaker_01,Elena,fr
audio/speaker_01_000013.wav,ref_audio/ref_speaker_01_000013.wav,Nous utilisons les formats CoNLL et avons utilisé l’encodage BIO pour pouvoir encoder des emprunts de gages simples tels que app ou des emprunts de gages multiples tels que l'apprentissage automatique.,10.32,speaker_01,Elena,fr
audio/speaker_01_000014.wav,ref_audio/ref_speaker_01_000014.wav,"Et ici, vous avez le nombre d’étendages qui ont été étiquetés comme anglais et les étendages qui ont été étiquetés comme autres emprunts, et combien d’entre eux étaient uniques.",9.8,speaker_01,Elena,fr
audio/speaker_01_000015.wav,ref_audio/ref_speaker_01_000015.wav,Est-ce un guillemet ?,1.76,speaker_01,Elena,fr
audio/speaker_01_000016.wav,ref_audio/ref_speaker_01_000016.wav,"Nous avons utilisé BETO qui est un modèle de Représentations d'encodeurs bidirectionnels à partir de transformateurs monolingue formé pour l’espagnol, mais aussi des Représentations d'encodeurs bidirectionnels à partir de transformateurs multilingues.",13.44,speaker_01,Elena,fr
audio/speaker_01_000017.wav,ref_audio/ref_speaker_01_000017.wav,"Comme vous pouvez le voir, les Représentations d'encodeurs bidirectionnels à partir de transformateurs multilingues fonctionnent mieux que les BETO à la fois sur l’ensemble de développement et sur l’ensemble de test, et à travers tous les indicateurs.",13.72,speaker_01,Elena,fr
audio/speaker_01_000018.wav,ref_audio/ref_speaker_01_000018.wav,"Donc, une fois que nous avons eu ces résultats, nous nous sommes posés une autre question qui est : pourrions-nous trouver un modèle BiLSTM-CRF, l’alimenter avec différents types d’intégrations, des intégrations qui encodent différents types d’informations linguistiques, et dépasser les résultats obtenus par les modèles basés sur la conversion ?",17.8,speaker_01,Elena,fr
audio/speaker_01_000020.wav,ref_audio/ref_speaker_01_000020.wav,"Et aussi, que les intégrations de BPE produisent un meilleur F1 et les intégrations de caractères, un meilleur rappel.",6.44,speaker_01,Elena,fr
